구별,동,인구수_계,인구수_남,인구수_여,19세 이상_계,19세 이상_남,19세 이상_여,65세 이상_계,65세 이상_남자,65세 이상_여자,세대수,재외국민,데이터기준일자
수정구,신흥1동         ,13063,6890,6173,12114,6402,5712,2754,1157,1597,7892,15,2023-04-30
수정구,신흥2동         ,19915,9670,10245,16911,8173,8738,3103,1429,1674,7627,32,2023-04-30
수정구,신흥3동         ,11151,5970,5181,10314,5545,4769,2301,1049,1252,6538,9,2023-04-30
수정구,태평1동         ,14895,7743,7152,13905,7225,6680,3330,1475,1855,8731,24,2023-04-30
수정구,태평2동         ,14799,7467,7332,13411,6758,6653,3028,1281,1747,7887,21,2023-04-30
수정구,태평3동         ,12869,6638,6231,11694,6050,5644,2715,1191,1524,6840,17,2023-04-30
수정구,태평4동         ,12536,6388,6148,11175,5686,5489,2429,1045,1384,6495,12,2023-04-30
수정구,수진1동         ,11887,6240,5647,11136,5854,5282,2907,1267,1640,7156,11,2023-04-30
수정구,수진2동         ,15421,7839,7582,13996,7118,6878,3505,1613,1892,7783,34,2023-04-30
수정구,단대동          ,14971,7342,7629,13075,6371,6704,2886,1228,1658,6609,22,2023-04-30
수정구,산성동          ,4904,2466,2438,4272,2132,2140,1032,447,585,2254,19,2023-04-30
수정구,양지동          ,9567,4745,4822,8439,4167,4272,1945,840,1105,4332,5,2023-04-30
수정구,복정동          ,10655,5975,4680,9727,5487,4240,1208,586,622,6720,28,2023-04-30
수정구,위례동          ,44207,21544,22663,35599,17259,18340,5618,2641,2977,17616,115,2023-04-30
수정구,신촌동          ,4555,2435,2120,3703,2002,1701,529,246,283,2009,13,2023-04-30
수정구,고등동          ,11457,5651,5806,9459,4630,4829,1509,672,837,5005,21,2023-04-30
수정구,시흥동          ,3392,1789,1603,3129,1653,1476,618,294,324,1977,12,2023-04-30
중원구,성남동          ,32991,17241,15750,30191,15836,14355,6162,2821,3341,18433,46,2023-04-30
중원구,중앙동          ,17024,8744,8280,14573,7490,7083,2876,1314,1562,7766,13,2023-04-30
중원구,금광1동         ,19119,9525,9594,16018,7957,8061,2351,1085,1266,8136,16,2023-04-30
중원구,금광2동         ,25152,12401,12751,22390,11035,11355,4768,2138,2630,12373,42,2023-04-30
중원구,은행1동         ,9947,4884,5063,8669,4227,4442,1693,750,943,4488,6,2023-04-30
중원구,은행2동         ,22848,11310,11538,20451,10073,10378,4699,1996,2703,11004,38,2023-04-30
중원구,상대원1동       ,24773,12893,11880,22023,11483,10540,4621,2112,2509,12189,25,2023-04-30
중원구,상대원2동       ,3554,1889,1665,3231,1732,1499,726,336,390,1918,9,2023-04-30
중원구,상대원3동       ,12132,6341,5791,11020,5780,5240,2601,1190,1411,6578,11,2023-04-30
중원구,하대원동        ,19903,10048,9855,17360,8726,8634,3501,1639,1862,8209,29,2023-04-30
중원구,도촌동          ,26861,13016,13845,22010,10529,11481,3928,1746,2182,10785,38,2023-04-30
분당구,분당동          ,25208,12397,12811,21038,10240,10798,3825,1778,2047,10208,88,2023-04-30
분당구,수내1동         ,17862,8469,9393,14740,6890,7850,2465,1016,1449,7812,124,2023-04-30
분당구,수내2동         ,10370,5054,5316,7482,3633,3849,1160,513,647,3176,38,2023-04-30
분당구,수내3동         ,13468,6722,6746,10538,5203,5335,1341,602,739,5174,23,2023-04-30
분당구,정자동          ,18847,9450,9397,16054,8035,8019,2645,1236,1409,8148,71,2023-04-30
분당구,정자1동         ,30111,14222,15889,25422,11878,13544,3982,1855,2127,13935,316,2023-04-30
분당구,정자2동         ,14744,6979,7765,12962,6010,6952,2641,1005,1636,7414,62,2023-04-30
분당구,정자3동         ,16965,8218,8747,13783,6595,7188,2257,979,1278,6667,67,2023-04-30
분당구,서현1동         ,31172,15125,16047,25372,12172,13200,4020,1794,2226,12635,158,2023-04-30
분당구,서현2동         ,17831,8794,9037,14738,7188,7550,2365,1084,1281,6635,65,2023-04-30
분당구,이매1동         ,24953,12230,12723,20316,9830,10486,3488,1629,1859,8986,87,2023-04-30
분당구,이매2동         ,13195,6420,6775,10783,5176,5607,2197,1059,1138,4449,55,2023-04-30
분당구,야탑1동         ,16974,8426,8548,14742,7273,7469,2937,1366,1571,7602,58,2023-04-30
분당구,야탑2동         ,15961,7557,8404,13383,6277,7106,3148,1448,1700,6063,83,2023-04-30
분당구,야탑3동         ,27215,13433,13782,23773,11673,12100,4676,2033,2643,12722,63,2023-04-30
분당구,금곡동          ,27338,12840,14498,23722,10999,12723,5153,2217,2936,12148,150,2023-04-30
분당구,구미동          ,28932,13722,15210,24986,11728,13258,5388,2322,3066,12647,158,2023-04-30
분당구,구미1동         ,16683,8085,8598,14273,6896,7377,2456,1114,1342,7161,83,2023-04-30
분당구,판교동          ,26407,12976,13431,20118,9696,10422,2593,1243,1350,8995,90,2023-04-30
분당구,삼평동          ,24145,11675,12470,19253,9194,10059,2757,1247,1510,9103,51,2023-04-30
분당구,백현동          ,26952,12961,13991,22086,10420,11666,3333,1496,1837,10378,90,2023-04-30
분당구,운중동          ,33463,16351,17112,26340,12699,13641,3502,1719,1783,12039,166,2023-04-30
